source_file,sheet_name,rule_type,max_row,max_column,header_row,headers_json,field_mapping_json,sample_rows_json
国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-1_药品区分性别使用.xlsx,“药品区分性别使用”规则对应知识点明细,gender_limit,487,9,2,"[""序号"", ""药品通用名"", ""是否为2024年医保目录内 药品"", ""限定性别"", ""检出逻辑"", ""逻辑依据（药品说明书适应症）"", ""知识点对应药品代码数量"", """", """"]","{""item_name"": [""药品通用名""], ""rule_condition"": [""限定性别"", ""逻辑依据（药品说明书适应症）""], ""gender"": [""限定性别""], ""indication"": [""逻辑依据（药品说明书适应症）""], ""item_code"": [""知识点对应药品代码数量""]}","[[""1"", ""阿帕他胺片"", ""是"", ""男"", ""与限定性别不符"", ""限转移性激素敏感性前列腺癌(mHSPC)患者。"", ""3"", """", """"], [""2"", ""艾附暖宫丸"", ""是"", ""女"", ""与限定性别不符"", ""理气补血，暖宫调经。用于子宫虚寒，月经量少、后错，经期腹痛，腰酸带下。"", ""75"", """", """"], [""3"", ""爱普列特片"", ""是"", ""男"", ""与限定性别不符"", ""适用于治疗良性前列腺增生症，改善因良性前列腺增生的有关症状。"", ""4"", """", """"], [""4"", ""安宫止血颗粒"", ""是"", ""女"", ""与限定性别不符"", ""活血化瘀，清热止血。用于瘀热内蕴所致的恶露不净，症见恶露不止、小腹疼痛、口燥咽干；人工流产及产后子宫复位不全见上述证候者。"", ""1"", """", """"], [""5"", ""奥特康唑胶囊"", ""是"", ""女"", ""与限定性别不符"", ""本品用于治疗重度外阴阴道假丝酵母菌病（VVC）。"", ""2"", """", """"]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-1_药品区分性别使用.xlsx,“药品区分性别使用”知识点对应药品代码,gender_limit,6476,4,2,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码""]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""阿帕他胺片"", ""1"", ""XL02BBA326A001010102180""], ["""", """", ""2"", ""XL02BBA326A001010178537""], ["""", """", ""3"", ""XL02BBA326A001020278537""], [""2"", ""艾附暖宫丸"", ""1"", ""ZD03AAA0043010100166""], ["""", """", ""2"", ""ZD03AAA0043010100220""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-2_医疗服务项目区分性别使用.xlsx,“医疗服务项目区分性别使用”规则对应知识点明细,gender_limit,395,7,4,"[""序号"", ""医疗服务项目名称"", ""限定性别"", ""检出逻辑"", ""逻辑依据"", ""项目代码，供参考 （2022版国家医保局全国医疗服务项目）"", ""备注""]","{""item_name"": [""医疗服务项目名称""], ""rule_condition"": [""限定性别"", ""备注""], ""gender"": [""限定性别""], ""item_code"": [""项目代码，供参考 （2022版国家医保局全国医疗服务项目）""]}","[[""1"", ""阴茎海绵体造影"", ""男"", ""与限定性别不符"", ""男性泌尿生殖系统相关检查"", ""002101030280000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""2"", ""输精管造影"", ""男"", ""与限定性别不符"", ""男性泌尿生殖系统相关检查"", ""002101030290000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""3"", ""子宫造影"", ""女"", ""与限定性别不符"", ""女性泌尿生殖系统相关检查"", ""002101030300000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""4"", ""子宫输卵管碘油造影"", ""女"", ""与限定性别不符"", ""女性泌尿生殖系统相关检查"", ""002101030310000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""5"", ""输卵管超声造影"", ""女"", ""与限定性别不符"", ""女性泌尿生殖系统相关检查"", ""002202010060000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-3_药品儿童专用.xlsx,“药品儿童专用”知识点对应药品明细,age_limit,277,6,4,"[""序号"", ""药品通用名"", ""是否为2024年医保目录内药品"", ""检出逻辑"", ""逻辑依据（说明书适应症）"", ""知识点对应药品代码数量""]","{""item_name"": [""药品通用名""], ""rule_condition"": [""逻辑依据（说明书适应症）""], ""indication"": [""逻辑依据（说明书适应症）""], ""item_code"": [""知识点对应药品代码数量""]}","[[""1"", ""儿童清肺口服液"", ""是"", ""参保人年龄超出儿童年龄限制"", ""清肺，化痰，止咳。用于面赤身热，咳嗽，痰多，咽痛。"", ""2""], [""2"", ""儿童清咽解热口服液"", ""是"", ""参保人年龄超出儿童年龄限制"", ""清热解毒，消肿利咽。用于小儿急性咽炎（急喉痹）属肺胃实热证，证见：发热，咽痛，咽部充血，或咳嗽，口渴等。"", ""5""], [""3"", ""健脾止泻宁颗粒"", ""是"", ""参保人年龄超出儿童年龄限制"", ""清热除湿，健脾止泻。用于小儿脾虚湿热所致的腹泻。"", ""4""], [""4"", ""金振口服液"", ""是"", ""参保人年龄超出儿童年龄限制"", ""清热解毒，祛痰止咳。用于小儿急性支气管炎符合痰热咳嗽者，表现为发热、咳嗽、咳吐黄痰、咳吐不爽、舌质红、苔黄腻等。"", ""4""], [""5"", ""荆肤止痒颗粒"", ""是"", ""参保人年龄超出儿童年龄限制"", ""祛风、除湿，清热解毒、止痒。用于儿童风热型或湿热型丘疹性荨麻疹 。症状可见脓疱疮、风团、水疱、瘙痒等。疗程3至6天。"", ""3""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-3_药品儿童专用.xlsx,"""药品儿童专用“规则对应知识药品代码",age_limit,4374,16384,4,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""儿童清肺口服液"", ""1"", ""ZA04CAE0023010100166"", """", """", """", """", """", """", """", """"], ["""", """", ""2"", ""ZA04CAE0023010200166"", """", """", """", """", """", """", """", """"], [""2"", ""儿童清咽解热口服液"", ""1"", ""ZF03AAE0027010102281"", """", """", """", """", """", """", """", """"], ["""", """", ""2"", ""ZF03AAE0027010202281"", """", """", """", """", """", """", """", """"], ["""", """", ""3"", ""ZF03AAE0027010302281"", """", """", """", """", """", """", """", """"]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-4_药品限儿童使用.xlsx,“药品限儿童使用”规则对应知识点明细,age_limit,16,5,4,"[""序号"", ""药品通用名"", ""检出逻辑"", ""逻辑依据（2024版国家药品目录备注）"", ""知识点对应              药品代码数量""]","{""item_name"": [""药品通用名""], ""rule_condition"": [""逻辑依据（2024版国家药品目录备注）""], ""item_code"": [""知识点对应              药品代码数量""]}","[[""1"", ""咪达唑仑口服溶液"", ""参保人年龄超出儿童年龄限制"", ""限：1.儿童诊断或治疗性操作前以及操作过程中的镇静/抗焦虑/遗忘；2.儿童术前镇静/抗焦虑/遗忘。"", ""2""], [""2"", ""水合氯醛/糖浆组合包装"", ""参保人年龄超出儿童年龄限制"", ""限儿童检查、操作前的镇静、催眠。"", ""2""], [""3"", ""水合氯醛灌肠剂"", ""参保人年龄超出儿童年龄限制"", ""限儿童。"", ""2""], [""4"", ""他克莫司颗粒"", ""参保人年龄超出儿童年龄限制"", ""限：1.预防儿童肝脏或肾脏移植术后的移植物排斥反应；2.治疗儿童肝脏或肾脏移植术后应用其他免疫抑制药物无法控制的移植物排斥反应。"", ""2""], [""5"", ""小儿法罗培南钠颗粒"", ""参保人年龄超出儿童年龄限制"", ""限头孢菌素耐药或重症感染儿童患者。"", ""4""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-4_药品限儿童使用.xlsx,“药品限儿童使用”知识点对应药品代码,age_limit,32,4,2,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码""]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""咪达唑仑口服溶液"", ""1"", ""XN05CDM084X001010102000""], ["""", """", ""2"", ""XN05CDM084X001010202000""], [""2"", ""水合氯醛/糖浆组合包装"", ""1"", ""XN05CCS278K001010101587""], ["""", """", ""2"", ""XN05CCS278K001010201587""], [""3"", ""水合氯醛灌肠剂"", ""1"", ""XN05CCS273S003010101587""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第一批-5_医疗服务项目儿童专用.xlsx,“医疗服务项目儿童专用”规则对应知识点明细,age_limit,34,6,4,"[""序号"", ""医疗服务项目名称"", ""检出逻辑"", ""逻辑依据"", ""项目代码，供参考 （2022版国家医保局全国医疗服务项目）"", ""备注""]","{""item_name"": [""医疗服务项目名称""], ""item_code"": [""项目代码，供参考 （2022版国家医保局全国医疗服务项目）""], ""rule_condition"": [""备注""]}","[[""1"", ""儿童前牙树脂冠修复"", ""参保人年龄超出儿童年龄限制"", ""儿童专用项目"", ""003105120040000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""2"", ""儿童龋齿预防保健"", ""参保人年龄超出儿童年龄限制"", ""儿童专用项目"", ""001302000010000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""3"", ""儿童听力障碍语言训练"", ""参保人年龄超出儿童年龄限制"", ""儿童专用项目"", ""003402000350000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""4"", ""多普勒小儿血压检测"", ""参保人年龄超出儿童年龄限制"", ""小儿专用项目"", ""002204000030000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""5"", ""小儿包茎气囊导管扩张术"", ""参保人年龄超出儿童年龄限制"", ""小儿专用项目"", ""003111000010000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第七批_医疗服务项目重复收费.xlsx,“医疗服务项目重复收费”规则对应知识点明细,duplicate_charge,905,9,4,"[""序号"", ""时间区间"", ""医疗服务项目A名称"", ""医疗服务项目A代码供参考 （国家医保局全国医疗服务项目）"", ""医疗服务项目B名称"", ""医疗服务项目B代码供参考 （国家医保局全国医疗服务项目）"", ""检出逻辑"", ""逻辑依据 （国家医保局全国医疗服务项目，项目A项目内涵）"", ""备注""]","{""item_name"": [""医疗服务项目A名称"", ""医疗服务项目B名称""], ""item_code"": [""医疗服务项目A代码供参考 （国家医保局全国医疗服务项目）"", ""医疗服务项目B代码供参考 （国家医保局全国医疗服务项目）""], ""rule_condition"": [""备注""]}","[[""1"", ""单日"", ""急诊监护费"", ""001103000010000"", ""急诊诊查费"", ""001102000030000"", ""项目A和项目B同时收费"", ""含监护、床位、诊查、护理"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""2"", ""单日"", ""急诊监护费"", ""001103000010000"", ""普通病房床位费"", ""001109000010000"", ""项目A和项目B同时收费"", ""含监护、床位、诊查、护理"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""3"", ""单日"", ""急诊监护费"", ""001103000010000"", ""普通病房床位费(单人间)"", ""001109000010100"", ""项目A和项目B同时收费"", ""含监护、床位、诊查、护理"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""4"", ""单日"", ""急诊监护费"", ""001103000010000"", ""普通病房床位费(双人间)"", ""001109000010200"", ""项目A和项目B同时收费"", ""含监护、床位、诊查、护理"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""5"", ""单日"", ""急诊监护费"", ""001103000010000"", ""普通病房床位费(三人间)"", ""001109000010300"", ""项目A和项目B同时收费"", ""含监护、床位、诊查、护理"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第三批-1_药品限工伤保险.xlsx,“药品限工伤保险”规则对应知识点明细,insurance_type_limit,14,5,4,"[""序号"", ""药品通用名"", ""检出逻辑"", ""逻辑依据（2024版国家药品目录备注）"", ""知识点对应              药品代码数量""]","{""item_name"": [""药品通用名""], ""rule_condition"": [""逻辑依据（2024版国家药品目录备注）""], ""item_code"": [""知识点对应              药品代码数量""]}","[[""1"", ""疤痕止痒软化膏"", ""参保人险种非工伤保险"", ""限工伤保险"", ""3""], [""2"", ""疤痕止痒软化乳膏"", ""参保人险种非工伤保险"", ""限工伤保险"", ""3""], [""3"", ""冻干人用狂犬病疫苗(Vero细胞)"", ""参保人险种非工伤保险"", ""限工伤保险"", ""16""], [""4"", ""冻干人用狂犬病疫苗(人二倍体细胞)"", ""参保人险种非工伤保险"", ""限工伤保险"", ""2""], [""5"", ""氢醌乳膏"", ""参保人险种非工伤保险"", ""限工伤保险"", ""5""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第三批-1_药品限工伤保险.xlsx,“药品限工伤保险”知识点对应药品代码,insurance_type_limit,89,4,2,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码""]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""疤痕止痒软化膏"", ""1"", ""ZH01AAB0066010100716""], ["""", """", ""2"", ""ZH01AAB0066010102577""], ["""", """", ""3"", ""ZH01AAB0066020100716""], [""2"", ""疤痕止痒软化乳膏"", ""1"", ""ZH01AAB0067010102021""], ["""", """", ""2"", ""ZH01AAB0067020102021""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第三批-2_药品限生育保险.xlsx,“药品限生育保险”规则对应知识点明细,insurance_type_limit,8,5,4,"[""序号"", ""药品通用名"", ""检出逻辑"", ""逻辑依据（2024版国家药品目录备注）"", ""知识点对应              药品代码数量""]","{""item_name"": [""药品通用名""], ""rule_condition"": [""逻辑依据（2024版国家药品目录备注）""], ""item_code"": [""知识点对应              药品代码数量""]}","[[""1"", ""地诺前列酮栓"", ""参保人险种非生育保险"", ""限生育保险"", ""1""], [""2"", ""卡前列素氨丁三醇注射液"", ""参保人险种非生育保险"", ""限生育保险"", ""22""], [""3"", ""益母草注射液"", ""参保人险种非生育保险"", ""限生育保险"", ""4""], [""合计"", """", """", """", ""27""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第三批-2_药品限生育保险.xlsx,“药品限生育保险”知识点对应药品代码,insurance_type_limit,31,4,2,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码""]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""地诺前列酮栓"", ""1"", ""XG02ADD082D003010179504""], [""2"", ""卡前列素氨丁三醇注射液"", ""1"", ""XG02ADK026B002010100568""], ["""", """", ""2"", ""XG02ADK026B002010101329""], ["""", """", ""3"", ""XG02ADK026B002010101389""], ["""", """", ""4"", ""XG02ADK026B002010101598""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第九批_药品限二线使用.xlsx,“药品限二线使用”规则对应知识点明细,second_line_drug_limit,115,5,3,"[""序号"", ""药品通用名"", ""检出逻辑"", ""逻辑依据（2025版国家药品目录备注）"", ""知识点对应药品代码数量""]","{""item_name"": [""药品通用名""], ""rule_condition"": [""逻辑依据（2025版国家药品目录备注）""], ""item_code"": [""知识点对应药品代码数量""]}","[[""1"", ""阿可替尼胶囊"", ""使用了该药品，但没有一线药品使用无效或不能耐受的证据。"", ""限：1.既往至少接受过一种治疗的成人慢性淋巴细胞白血病(CLL)/小淋巴细胞淋巴瘤(SLL)患者；2.既往至少接受过一种治疗的成人套细胞淋巴瘤(MCL)患者。"", ""1""], [""2"", ""艾拉莫德片"", ""使用了该药品，但没有一线药品使用无效或不能耐受的证据。"", ""限活动性类风湿关节炎患者的二线治疗。"", ""20""], [""3"", ""艾帕洛利托沃瑞利单抗注射液"", ""使用了该药品，但没有一线药品使用无效或不能耐受的证据。"", ""限既往接受含铂化疗治疗失败的复发或转移性宫颈癌患者。"", ""1""], [""4"", ""艾普拉唑肠溶片"", ""使用了该药品，但没有一线药品使用无效或不能耐受的证据。"", ""限有十二指肠溃疡、反流性食管炎诊断患者的二线用药。"", ""6""], [""5"", ""艾曲泊帕乙醇胺片"", ""使用了该药品，但没有一线药品使用无效或不能耐受的证据。"", ""限：1.既往对糖皮质激素、免疫球蛋白等治疗反应不佳的成人和6岁及以上儿童慢性免疫性(特发性)血小板减少症(ITP)患者；2.既往对免疫抑制治疗缓解不充分的重型再生障碍性贫血(SAA)患者。"", ""24""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第九批_药品限二线使用.xlsx,"""药品限二线使用“知识点对应药品代码",second_line_drug_limit,605,16384,4,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""阿可替尼胶囊"", ""1"", ""XL01ELA387E001010184513"", """", """", """", """", """", """", """", """"], [""2"", ""艾拉莫德片"", ""1"", ""XM01AXA267A001010101522"", """", """", """", """", """", """", """", """"], ["""", """", ""2"", ""XM01AXA267A001010101749"", """", """", """", """", """", """", """", """"], ["""", """", ""3"", ""XM01AXA267A001010105849"", """", """", """", """", """", """", """", """"], ["""", """", ""4"", ""XM01AXA267A001010109568"", """", """", """", """", """", """", """", """"]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第五批_药品限医疗机构级别.xlsx,“药品限医疗机构级别”规则对应知识点明细,institution_level_limit,66,5,4,"[""序号"", ""药品通用名"", ""检出逻辑"", ""逻辑依据（2024版国家药品目录备注）"", ""知识点对应  药品代码数量""]","{""item_name"": [""药品通用名""], ""rule_condition"": [""逻辑依据（2024版国家药品目录备注）""], ""item_code"": [""知识点对应  药品代码数量""]}","[[""1"", ""艾迪注射液"", ""使用药品的医疗机构级别低于限定级别"", ""限二级及以上医疗机构癌症患者。"", ""2""], [""2"", ""参附注射液"", ""使用药品的医疗机构级别低于限定级别"", ""限二级及以上医疗机构。"", ""5""], [""3"", ""参麦注射液"", ""使用药品的医疗机构级别低于限定级别"", ""限二级及以上医疗机构。"", ""57""], [""4"", ""参芪扶正注射液"", ""使用药品的医疗机构级别低于限定级别"", ""限二级及以上医疗机构癌症患者。"", ""2""], [""5"", ""喘可治注射液"", ""使用药品的医疗机构级别低于限定级别"", ""限二级及以上医疗机构的支气管炎哮喘患者。"", ""3""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第五批_药品限医疗机构级别.xlsx,“药品限医疗机构级别”知识点对应药品代码,institution_level_limit,966,4,2,"[""对应知识点序号"", ""药品通用名"", ""序号"", ""药品代码""]","{""item_name"": [""药品通用名""], ""item_code"": [""药品代码""]}","[[""1"", ""艾迪注射液"", ""1"", ""ZC01AAA0042010105549""], ["""", """", ""2"", ""ZC01AAA0042010305549""], [""2"", ""参附注射液"", ""1"", ""ZA05CAC0029010102312""], ["""", """", ""2"", ""ZA05CAC0029020102312""], ["""", """", ""3"", ""ZA05CAC0029030102312""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第八批-1_医疗服务项目限定频次.xlsx,“医疗服务项目限定频次”规则对应知识点明细,frequency_limit,73,7,4,"[""序号"", ""医疗服务项目名称"", ""单日上限数量"", ""检出逻辑"", ""逻辑依据 （国家医保局全国医疗服务项目单位）"", ""项目代码供参考 （国家医保局全国医疗服务项目）"", ""备注""]","{""item_name"": [""医疗服务项目名称""], ""item_code"": [""项目代码供参考 （国家医保局全国医疗服务项目）""], ""rule_condition"": [""备注""]}","[[""1"", ""门急诊留观诊查费"", ""1"", ""使用项目的数量总计超过上限数量"", ""日"", ""001102000040000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""2"", ""住院诊查费"", ""1"", ""使用项目的数量总计超过上限数量"", ""日"", ""001102000050000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""3"", ""急诊监护费"", ""1"", ""使用项目的数量总计超过上限数量"", ""日"", ""001103000010000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""4"", ""病房取暖费"", ""1"", ""使用项目的数量总计超过上限数量"", ""日"", ""001107000010000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""5"", ""病房空调降温费"", ""1"", ""使用项目的数量总计超过上限数量"", ""日"", ""001108000010000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第八批-2_医疗服务项目限年龄.xlsx,“医疗服务项目限年龄”规则对应知识点明细,age_limit,6,6,4,"[""序号"", ""医疗服务项目名称"", ""检出逻辑"", ""逻辑依据 （人社部发〔2016〕23号）"", ""项目代码供参考 （国家医保局全国医疗服务项目）"", ""备注""]","{""item_name"": [""医疗服务项目名称""], ""item_code"": [""项目代码供参考 （国家医保局全国医疗服务项目）""], ""rule_condition"": [""备注""]}","[[""1"", ""职业功能训练"", ""参保人年龄超出法定就业年龄限制"", ""限法定就业年龄段患者"", ""003402000320000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""备注：对于涉及医疗服务项目的智能监管规则和知识点，依据国家医保局梳理的全国现行医疗服务项目设定，各省级医保部门应当根据本省份的医疗服务项目目录，参考国家局发布的相关知识点梳理，进行细化和本地化。"", """", """", """", """", """"]]"
国家医保智能监管两库_官方公开附件_截至2026-07-10/第八批-3_医疗服务项目限支付疗程.xlsx,“医疗服务项目限支付疗程”规则对应知识点明细,treatment_course_limit,17,6,4,"[""序号"", ""医疗服务项目名称"", ""检出逻辑"", ""逻辑依据 （人社部发〔2016〕23号）"", ""项目代码供参考 （国家医保局全国医疗服务项目）"", ""备注""]","{""item_name"": [""医疗服务项目名称""], ""item_code"": [""项目代码供参考 （国家医保局全国医疗服务项目）""], ""rule_condition"": [""备注""]}","[[""1"", ""手功能评定"", ""使用项目的日期总计超过限制天数"", ""总时间不超过90天，评定间隔时间不短于14天。"", ""003402000050000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""2"", ""手功能评定(徒手)"", ""使用项目的日期总计超过限制天数"", ""总时间不超过90天，评定间隔时间不短于14天。"", ""003402000050100"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""3"", ""手功能评定(仪器)"", ""使用项目的日期总计超过限制天数"", ""总时间不超过90天，评定间隔时间不短于14天。"", ""003402000050200"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""4"", ""减重支持系统训练"", ""使用项目的日期总计超过限制天数"", ""支付不超过30天。"", ""003402000210000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""], [""5"", ""轮椅功能训练"", ""使用项目的日期总计超过限制天数"", ""支付不超过30天。"", ""003402000220000"", ""各省依据国家项目代码，配置规则知识点中各省项目代码""]]"
